title,source
India bonds rise on growing hopes of more RBI buying,Economic Times
J&amp;K Bank stays on track; Q3 net profit rises 10.4% YoY despite Pahalgam attack and floods: MD &amp; CEO Amitava Chatterjee,Economic Times
"Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher",Moneycontrol
"Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years",Moneycontrol
"Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action",Moneycontrol
Crude oil futures fall as markets fear economic impact of Trump’s tariffs on Europe,The Hindu BusinessLine
"Rupee at risk of record low on heightened risk aversion, RBI backstop eyed",The Hindu BusinessLine
"Adani Power set for group's biggest-ever rupee bond sale, bankers say",The Hindu BusinessLine
Beaten down market to remain volatile,The Hindu BusinessLine
"Watch out for these 12 stocks today: HCL Tech, JSW Energy, RBL Bank, ABB India, RNIT AI Solutions, Patel Retail, Pace Digitek, Ramkrishna Forgings, Zaggle, Embassy REIT",The Hindu BusinessLine
"Stock Market Live Updates 21 January 2026: Sensex flat at 81,172, Nifty inches up to 25,251 in opening trade",The Hindu BusinessLine
"Debt-ridden global bond markets rattled by Japan bond selloff, Greenland tensions",The Hindu BusinessLine
"PhonePe gets SEBI nod for IPO; targets ₹10,000-crore OFS",The Hindu BusinessLine
